t	sumScr	maxInnSc	maxScr
876	4548.5	8.1	11.8
877	4547.8	8.1	12.0
878	4535.9	8.0	11.7
879	4540.2	8.0	11.9
880	4556.5	7.9	12.0
881	4541.8	8.0	11.8
882	4558.0	8.0	12.1
883	4548.6	8.0	11.8
884	4564.2	8.0	12.2
885	4542.6	8.0	11.6
886	4544.5	8.0	12.1
887	4555.7	8.0	11.6
888	4563.9	8.2	12.2
889	4557.7	8.2	11.6
890	4559.8	8.2	12.0
891	4563.6	8.2	11.9
892	4578.0	8.2	12.1
893	4567.7	8.1	11.9
894	4569.0	8.0	11.8
895	4584.2	8.0	11.8
896	4562.6	8.0	12.0
897	4587.4	8.0	12.2
898	4565.4	8.0	11.8
899	4556.4	8.0	12.0
900	4566.1	8.0	11.7
901	4574.8	8.0	11.9
902	4586.5	8.0	11.8
903	4591.5	8.0	12.0
904	4608.0	8.0	12.0
905	4605.1	8.0	11.9
906	4581.6	8.2	12.0
907	4594.3	8.2	12.0
908	4594.2	8.2	12.3
909	4604.7	8.2	12.0
910	4604.6	8.2	12.0
911	4613.1	8.2	12.2
912	4596.1	8.3	11.9
913	4616.1	8.2	12.0
914	4608.7	8.3	12.0
915	4615.6	8.2	11.9
916	4633.4	8.4	11.8
917	4622.6	8.4	11.6
918	4635.7	8.2	12.3
919	4631.8	8.2	11.9
920	4615.5	8.2	12.1
921	4643.5	8.2	12.2
922	4642.4	8.2	12.1
923	4646.4	8.2	12.3
924	4642.5	8.3	12.1
925	4654.6	8.3	12.2
926	4642.4	8.3	12.1
